127.0.0.1 - - [26/Apr/2024:12:44:32 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:44:35 +0530] "GET /SpringMVC/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:44:35 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:44:40 +0530] "GET /SpringMVC/hello HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:44:43 +0530] "GET /SpringMVC/hello HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:45:35 +0530] "GET /SpringMVC/hello HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:47:15 +0530] "GET /SpringMVC/hello HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:47:21 +0530] "GET /SpringMVC/hello HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:48:02 +0530] "GET /SpringMVC/hello HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:48:03 +0530] "GET /SpringMVC/hello HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:48:26 +0530] "GET /SpringMVC/hello HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:48:28 +0530] "GET /SpringMVC/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:48:43 +0530] "GET /SpringMVC/hello HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:49:56 +0530] "GET /SpringMVC/hello HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:50:48 +0530] "GET /SpringMVC/WEB-INF/classes/Controller/SpringController.java HTTP/1.1" 404 682
