127.0.0.1 - - [25/Jun/2024:19:40:38 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Jun/2024:19:40:40 +0530] "GET /ShoppingApp/ HTTP/1.1" 200 2086
0:0:0:0:0:0:0:1 - - [25/Jun/2024:19:40:40 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [25/Jun/2024:19:40:45 +0530] "GET /ShoppingApp/home?username=customer&password=customer HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [25/Jun/2024:19:40:50 +0530] "GET /ShoppingApp/index.jsp HTTP/1.1" 200 2086
0:0:0:0:0:0:0:1 - - [25/Jun/2024:19:41:00 +0530] "GET /ShoppingApp/home?username=mantr&password=mantr HTTP/1.1" 200 2898
0:0:0:0:0:0:0:1 - - [25/Jun/2024:19:41:03 +0530] "GET /ShoppingApp/addBalance? HTTP/1.1" 500 3618
0:0:0:0:0:0:0:1 - - [25/Jun/2024:19:45:17 +0530] "GET /ShoppingApp/displayProductsFromCart? HTTP/1.1" 200 6088
0:0:0:0:0:0:0:1 - - [25/Jun/2024:19:45:27 +0530] "GET /ShoppingApp/addProductsToCart? HTTP/1.1" 200 6831
0:0:0:0:0:0:0:1 - - [25/Jun/2024:19:45:33 +0530] "GET /ShoppingApp/displayandpayBill? HTTP/1.1" 200 1629
0:0:0:0:0:0:0:1 - - [25/Jun/2024:19:45:44 +0530] "GET /ShoppingApp/payment?discount_amt=44170.0 HTTP/1.1" 200 364
0:0:0:0:0:0:0:1 - - [25/Jun/2024:19:48:01 +0530] "GET /ShoppingApp/home?username=mantr&password=mantr HTTP/1.1" 200 2898
0:0:0:0:0:0:0:1 - - [25/Jun/2024:19:48:06 +0530] "GET /ShoppingApp/displayandpayBill? HTTP/1.1" 500 5264
0:0:0:0:0:0:0:1 - - [25/Jun/2024:19:49:22 +0530] "GET /ShoppingApp/displayandpayBill? HTTP/1.1" 200 1630
0:0:0:0:0:0:0:1 - - [25/Jun/2024:19:50:12 +0530] "GET /ShoppingApp/displayandpayBill? HTTP/1.1" 200 5019
0:0:0:0:0:0:0:1 - - [25/Jun/2024:19:50:24 +0530] "GET /ShoppingApp/payment?discount_amt=44170.0 HTTP/1.1" 200 364
0:0:0:0:0:0:0:1 - - [25/Jun/2024:19:50:28 +0530] "GET /ShoppingApp/payment?discount_amt= HTTP/1.1" 400 762
0:0:0:0:0:0:0:1 - - [25/Jun/2024:19:57:03 +0530] "GET /ShoppingApp/payment?discount_amt=44170.0 HTTP/1.1" 200 363
0:0:0:0:0:0:0:1 - - [25/Jun/2024:19:58:09 +0530] "GET /ShoppingApp/home?username=mantr&password=mantr HTTP/1.1" 200 2898
0:0:0:0:0:0:0:1 - - [25/Jun/2024:19:58:11 +0530] "GET /ShoppingApp/addBalance? HTTP/1.1" 500 3618
0:0:0:0:0:0:0:1 - - [25/Jun/2024:20:09:23 +0530] "GET /ShoppingApp/addBalance? HTTP/1.1" 500 3618
0:0:0:0:0:0:0:1 - - [25/Jun/2024:20:09:24 +0530] "GET /ShoppingApp/addBalance? HTTP/1.1" 500 3618
0:0:0:0:0:0:0:1 - - [25/Jun/2024:20:09:27 +0530] "GET /ShoppingApp/home?username=mantr&password=mantr HTTP/1.1" 200 2898
0:0:0:0:0:0:0:1 - - [25/Jun/2024:20:09:30 +0530] "GET /ShoppingApp/displayandpayBill? HTTP/1.1" 200 5019
0:0:0:0:0:0:0:1 - - [25/Jun/2024:20:09:35 +0530] "GET /ShoppingApp/payment?discount_amt=44170.0 HTTP/1.1" 200 363
0:0:0:0:0:0:0:1 - - [25/Jun/2024:20:09:38 +0530] "GET /ShoppingApp/payment?discount_amt= HTTP/1.1" 400 762
0:0:0:0:0:0:0:1 - - [25/Jun/2024:20:11:00 +0530] "GET /ShoppingApp/payment?discount_amt=44170.0 HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [25/Jun/2024:20:11:13 +0530] "GET /ShoppingApp/payment?discount_amt=44170.0 HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [25/Jun/2024:20:11:14 +0530] "GET /ShoppingApp/payment?discount_amt= HTTP/1.1" 400 762
0:0:0:0:0:0:0:1 - - [25/Jun/2024:20:16:36 +0530] "GET /ShoppingApp/displayandpayBill? HTTP/1.1" 200 4872
0:0:0:0:0:0:0:1 - - [25/Jun/2024:20:21:51 +0530] "GET /ShoppingApp/displayandpayBill? HTTP/1.1" 200 4872
0:0:0:0:0:0:0:1 - - [25/Jun/2024:20:22:13 +0530] "GET /ShoppingApp/displayandpayBill? HTTP/1.1" 200 5019
0:0:0:0:0:0:0:1 - - [25/Jun/2024:20:22:18 +0530] "GET /ShoppingApp/displayandpayBill? HTTP/1.1" 200 5019
0:0:0:0:0:0:0:1 - - [25/Jun/2024:20:22:19 +0530] "GET /ShoppingApp/displayandpayBill? HTTP/1.1" 200 5019
0:0:0:0:0:0:0:1 - - [25/Jun/2024:20:22:19 +0530] "GET /ShoppingApp/displayandpayBill? HTTP/1.1" 200 5019
0:0:0:0:0:0:0:1 - - [25/Jun/2024:20:22:27 +0530] "GET /ShoppingApp/displayandpayBill? HTTP/1.1" 200 5019
0:0:0:0:0:0:0:1 - - [25/Jun/2024:20:22:28 +0530] "GET /ShoppingApp/displayandpayBill? HTTP/1.1" 200 5019
0:0:0:0:0:0:0:1 - - [25/Jun/2024:20:22:29 +0530] "GET /ShoppingApp/displayandpayBill? HTTP/1.1" 200 5019
0:0:0:0:0:0:0:1 - - [25/Jun/2024:20:22:53 +0530] "GET /ShoppingApp/home?username=mantr&password=mantr HTTP/1.1" 200 2898
0:0:0:0:0:0:0:1 - - [25/Jun/2024:20:23:00 +0530] "GET /ShoppingApp/home?username=mantr&password=mantr HTTP/1.1" 200 2898
0:0:0:0:0:0:0:1 - - [25/Jun/2024:20:23:02 +0530] "GET /ShoppingApp/displayandpayBill? HTTP/1.1" 200 5019
0:0:0:0:0:0:0:1 - - [25/Jun/2024:20:23:05 +0530] "GET /ShoppingApp/payment?discount_amt=44170.0 HTTP/1.1" 500 3876
0:0:0:0:0:0:0:1 - - [25/Jun/2024:20:24:27 +0530] "GET /ShoppingApp/payment?discount_amt=44170.0 HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [25/Jun/2024:20:26:37 +0530] "GET /ShoppingApp/payment?discount_amt= HTTP/1.1" 400 762
0:0:0:0:0:0:0:1 - - [25/Jun/2024:20:28:17 +0530] "GET /ShoppingApp/home?username=sahil&password=sahil HTTP/1.1" 200 2898
0:0:0:0:0:0:0:1 - - [25/Jun/2024:20:28:28 +0530] "GET /ShoppingApp/addProductsToCart? HTTP/1.1" 200 6831
0:0:0:0:0:0:0:1 - - [25/Jun/2024:20:28:31 +0530] "GET /ShoppingApp/displayProductsFromCart? HTTP/1.1" 200 2024
0:0:0:0:0:0:0:1 - - [25/Jun/2024:20:28:36 +0530] "GET /ShoppingApp/displayandpayBill? HTTP/1.1" 200 947
0:0:0:0:0:0:0:1 - - [25/Jun/2024:20:28:39 +0530] "GET /ShoppingApp/payment?discount_amt=475.0 HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [25/Jun/2024:20:28:41 +0530] "GET /ShoppingApp/payment?discount_amt= HTTP/1.1" 400 762
0:0:0:0:0:0:0:1 - - [25/Jun/2024:20:42:43 +0530] "GET /ShoppingApp/payment?discount_amt=475.0 HTTP/1.1" 200 366
